ensemblid	counts
ENSMUSG00000006134	611
ENSMUSG00000006143	0
ENSMUSG00000006154	23
ENSMUSG00000006169	3715
ENSMUSG00000006179	0
ENSMUSG00000006191	491
ENSMUSG00000006200	0
ENSMUSG00000006204	0
ENSMUSG00000006205	272
ENSMUSG00000006215	47
ENSMUSG00000006216	464
ENSMUSG00000006218	42
ENSMUSG00000006219	1292
ENSMUSG00000006221	21
ENSMUSG00000006235	6
ENSMUSG00000006241	25
ENSMUSG00000006262	3681
ENSMUSG00000006269	202
ENSMUSG00000006270	2
ENSMUSG00000006273	4797
ENSMUSG00000006276	499
ENSMUSG00000006281	704
ENSMUSG00000006288	151
ENSMUSG00000006289	135
ENSMUSG00000006299	398
ENSMUSG00000006301	726
ENSMUSG00000006304	3411
ENSMUSG00000006307	920
ENSMUSG00000006310	51
ENSMUSG00000006311	0
